fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,fixed acidity volatile acidity,fixed acidity citric acid,fixed acidity residual sugar,fixed acidity chlorides,fixed acidity free sulfur dioxide,fixed acidity total sulfur dioxide,fixed acidity density,fixed acidity pH,quality
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.18,0.0,14.06,0.5624,81.4,251.60000000000002,7.38372,25.974,5
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,6.864,0.0,20.28,0.7644,195.0,522.6,7.77504,24.96,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5.928,0.312,17.939999999999998,0.7176,117.0,421.2,7.7766,25.427999999999997,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,3.136,6.272,21.279999999999998,0.84,190.39999999999998,672.0,11.1776,35.391999999999996,6
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5.18,0.0,14.06,0.5624,81.4,251.60000000000002,7.38372,25.974,5
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,4.884,0.0,13.32,0.555,96.2,296.0,7.38372,25.974,5
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,4.74,0.474,12.64,0.5451,118.5,466.1,7.87156,26.07,5
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,4.745,0.0,8.76,0.4745,109.5,153.29999999999998,7.26058,24.747,7
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,4.524,0.156,15.6,0.5693999999999999,70.2,140.4,7.77504,26.208,7
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,3.75,2.6999999999999997,45.75,0.5325,127.5,765.0,7.4835,25.125,5
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,3.8859999999999997,0.536,12.06,0.6499,100.5,435.5,6.67253,21.976,5
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,3.75,2.6999999999999997,45.75,0.5325,127.5,765.0,7.4835,25.125,5
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,3.444,0.0,8.959999999999999,0.49839999999999995,89.6,330.4,5.568079999999999,20.048,5
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,4.758,2.262,12.48,0.8892,70.2,226.2,7.779719999999999,25.427999999999997,5
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5.518,1.602,33.82,1.5664,462.8,1290.5,8.887540000000001,28.124000000000002,5
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5.518,1.691,34.71,1.5130000000000001,453.90000000000003,1317.2,8.887540000000001,28.213,5
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,2.3800000000000003,4.760000000000001,15.3,0.782,297.5,875.5,8.47365,28.049999999999997,7
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,4.5360000000000005,2.2680000000000002,13.77,2.9808,129.6,453.59999999999997,8.07408,25.191,5
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4.366,0.5920000000000001,32.56,0.6364,44.400000000000006,214.60000000000002,7.38076,25.012,4
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,2.528,4.029,14.22,2.6939,134.3,442.40000000000003,7.87551,24.016000000000002,6
